identifier,canonical_smiles,standard_inchi_key,name_coconut,iupac_name_coconut,molecular_formula,mw_coconut,alogp,tpsa_coconut,hba_coconut,hbd_coconut,rot_bonds_coconut,qed_drug_likeliness,lipinski_violations,aromatic_rings,frac_csp3,np_likeness_num,np_classifier_pathway,np_classifier_superclass,np_classifier_class,chemical_class,chemical_superclass,direct_parent,organisms,collections,contains_sugar,contains_ring_sugars,dois,source_database,is_african_np,lipinski_pass,inchikey_14,npass_np_id,in_npass,p_active,african_rank
CNP0145998.6,CC(=O)O[C@H]1C[C@@H]2C(C)(C)C(=O)C=C[C@@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]43[C@@]12C,YJXDGWUNRYLINJ-QGIIYINFSA-N,gedunin,"[(1~{R},2~{S},4~{R},7~{R},8~{R},11~{S},12~{S},17~{S},19~{S})-7-(3-furyl)-1,8,12,16,16-pentamethyl-5,15-dioxo-3,6-dioxapentacyclo[9.8.0.0^{2,4}.0^{2,8}.0^{12,17}]nonadec-13-en-19-yl] acetate",C28H34O7,482.57,4.56,95.34,7,0,2,0.45,0,1,0.68,3.34,Terpenoids,Triterpenoids,Limonoids,Prenol lipids,Lipids and lipid-like molecules,Limonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,YJXDGWUNRYLINJ,NPC586225,True,0.3073207546811512,142
CNP0422843.2,COc1ccc2c(c1)C[C@H]1NCCc3cc4c(c-2c31)OCO4,RFWCCZDSXIZJMF-CQSZACIVSA-N,Xylopine,"(12~{R})-16-methoxy-3,5-dioxa-11-azapentacyclo[10.7.1.0^{2,6}.0^{8,20}.0^{14,19}]icosa-1,6,8(20),14,16,18-hexaene",C18H17NO3,295.34,2.83,39.72,4,1,1,0.88,0,2,0.33,1.65,Alkaloids,Tyrosine alkaloids,Aporphine alkaloids,Aporphines,Alkaloids and derivatives,Aporphines,Alstonia angustiloba|Annona cherimola|Annona cherimolia|Annona reticulata|Artemisia pectinata|Aspergillus microcysticus|Baccharis grandicapitulata|Beesia calthifolia|Boschniakia rossica|Botrychium ternatum|Bursera kerberi|Clerodendrum trichotomum|Clinacanthus nutans|Coffea liberica var. dewevrei|Costasiella ocellifera|Creosphaeria sassafras|Crotalaria stolzii|Curcuma aeruginosa|Delisea elegans|Delphinium giraldii|Desmos longifolia|Emericellopsis minima|Esperiopsis digitata|Eucalyptus albens|Euonymus fortunei|Euploca racemosa|Fissistigma glaucescens|Grevillea hilliana|Guatteria amplifolia|Gutierrezia dracunculoides|Hedysarum gmelini|Helenium integrifolium|Juniperus scopulorum|Lasianthaea podocephala|Lupinus cosentinii|Melampodium leucanthum|Micromelum ceylanicum|Micromonospora echinospora|Morella pensylvanica|Ormosia dasycarpa|Papaver pseudocanescens|Pellacalyx axillaris|Pestalotiopsis oenotherae|Phlomis crinita|Piper brachystachyum|Pseudocyphellaria australiensis|Psidium acutangulum|Renealmia alpinia|Rhododendron mucronulatum|Sarcophyton flexuosum|Selinum libanotis|Senecio congestus|Sideritis dasygnaphala|Stellaria media|Stephania pierrei|Streptomyces melanogenes|Streptomyces parvisporogenes|Talauma gitigensis|Tephroseris kirilowii|Xylopia|Xylopia discreta|Xylopia papuana|Xylopia papus|Xylopia parviflora|Xylopia vieillardi|Zephyranthes flava,AfroDB|Australian natural products|CMAUP (cCollective molecular activities of useful plants)|ChEBI NPs|FooDB|KNApSaCK|Latin America dataset|NPASS|NPEdia|Super Natural II|TIPdb (database of Taiwan indigenous plants)|VietHerb|ZINC NP,f,f,10.1071/ch9681383,COCONUT,True,True,RFWCCZDSXIZJMF,NPC86144,True,0.3063106915263286,143
CNP0225677.1,CO[C@H]1C=CC2=CC(=O)N3CCc4cc5c(cc4[C@]23C1)OCO5,RNCIERMYMLFYAO-UGSOOPFHSA-N,8-Oxoerythraline,"(1~{S},19~{R})-19-methoxy-5,7-dioxa-13-azapentacyclo[11.7.0.0^{1,16}.0^{2,10}.0^{4,8}]icosa-2,4(8),9,15,17-pentaen-14-one",C18H17NO4,311.34,1.91,48.0,4,0,1,0.79,0,1,0.39,2.3,Alkaloids,Lysine alkaloids,Indolizidine alkaloids,Erythrina alkaloids,Alkaloids and derivatives,Erythrinanes,Erythrina abyssinica|Erythrina latissima|Erythrina velutina,ANPDB|AfroCancer|AfroDB|KNApSaCK|NANPDB (Natural Products from Northern African Sources)|NPASS|Super Natural II|ZINC NP,f,f,10.1016/j.bmcl.2008.10.111|10.1080/14786419.2011.573791,COCONUT,True,True,RNCIERMYMLFYAO,NPC231198,True,0.3048121820299162,144
CNP0332712.1,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc2c1OC(C)(C)CC2,BGTQNUQZNHMBOI-QFIPXVFZSA-N,,"(2~{S})-2-[2,2-dimethyl-8-(3-methylbut-2-enyl)chroman-6-yl]-7-hydroxy-chroman-4-one",C25H28O4,392.5,5.71,55.76,4,1,3,0.68,1,2,0.4,2.2,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,Flavonoids,Phenylpropanoids and polyketides,Pyranoflavonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,BGTQNUQZNHMBOI,,False,0.3044380627780244,145
CNP0317662.1,CC(=O)CCc1cc(O)cc2c1C(=O)C[C@H](CO)O2,KLSUOJAWPZXMNA-LLVKDONJSA-N,,(2~{R})-7-hydroxy-2-(hydroxymethyl)-5-(3-oxobutyl)chroman-4-one,C14H16O5,264.28,1.24,83.83,5,2,4,0.85,0,1,0.43,1.9,Polyketides,Chromanes,Chromones,Benzopyrans,Organoheterocyclic compounds,Chromones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,KLSUOJAWPZXMNA,,False,0.3042366175750553,146
CNP0309861.3,O=C1C[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@H]43)OCO7,DTBOGXTYLFTPCH-LGWHJFRWSA-N,,"(1~{S},14~{S},18~{R},19~{R})-8,10-dioxa-4,17-diazaheptacyclo[15.4.3.0^{1,18}.0^{4,19}.0^{5,13}.0^{7,11}.0^{14,19}]tetracosa-5,7(11),12,22-tetraen-3-one",C20H20N2O3,336.39,2.41,42.01,4,0,0,0.68,0,1,0.55,2.43,Alkaloids,Tyrosine alkaloids,,Schizozygine alkaloids,Alkaloids and derivatives,Schizozygine alkaloids,,AfroDB|Super Natural II|ZINC NP,f,f,,COCONUT,True,True,DTBOGXTYLFTPCH,NPC82541,True,0.3042257564460611,147
CNP0346405.1,CC(=O)[C@@]1(C)CCC[C@]2(C)[C@H]3CC[C@]4(C)C(=CC[C@@]5(C(=O)O)CCC(C)(C)C[C@H]54)[C@]3(C)CC[C@H]21,CADAXKVLCHNSLH-GTQXNDEASA-N,,"(4~{a}~{S},6~{a}~{R},6~{b}~{R},8~{a}~{R},9~{S},12~{a}~{R},14~{a}~{S},14~{b}~{S})-9-acetyl-2,2,6~{b},9,12~{a},14~{a}-hexamethyl-1,3,4,5,6~{a},7,8,8~{a},10,11,12,13,14,14~{b}-tetradecahydropicene-4~{a}-carboxylic acid",C31H48O3,468.72,7.83,54.37,2,1,2,0.42,1,0,0.87,2.76,Terpenoids,Triterpenoids,Taraxerane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,Scalarane sesterterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,CADAXKVLCHNSLH,,False,0.30376948032610124,148
CNP0346316.1,COC/C=C/c1ccc2c(c1)[C@H](COC(C)=O)[C@H](c1ccc(OC)c(OC)c1)O2,HKPBKTJFDWPYQN-IDDCSHTPSA-N,,"[(2~{R},3~{R})-2-(3,4-dimethoxyphenyl)-5-[(~{E})-3-methoxyprop-1-enyl]-2,3-dihydrobenzofuran-3-yl]methyl acetate",C23H26O6,398.46,4.14,63.22,6,0,8,0.62,0,2,0.35,1.52,Shikimates and Phenylpropanoids,Lignans,Neolignans,2-arylbenzofuran flavonoids,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,HKPBKTJFDWPYQN,,False,0.30351955064726155,149
CNP0364202.1,C=C1C(=O)O[C@@H]2/C=C3\CC[C@]4(O)O[C@]4(C[C@H](O[C@@H](O)C(=C)CO)[C@H]12)[C@H](O)OC3,WJDSJWRYKZWBFS-QMRRDEPSSA-N,"(1~{R},3~{S},4~{S},8~{R},13~{S},15~{R})-13,15-dihydroxy-3-[(1~{R})-1-hydroxy-2-(hydroxymethyl)allyloxy]-5-methylene-7,14,16-trioxatetracyclo[8.4.3.0^{1,13}.0^{4,8}]heptadec-9-en-6-one","(1~{R},3~{S},4~{S},8~{R},13~{S},15~{R})-13,15-dihydroxy-3-[(1~{R})-1-hydroxy-2-(hydroxymethyl)allyloxy]-5-methylene-7,14,16-trioxatetracyclo[8.4.3.0^{1,13}.0^{4,8}]heptadec-9-en-6-one",C19H24O9,396.39,-0.75,138.21,9,4,4,0.16,0,0,0.63,3.37,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids,Lactones,Organoheterocyclic compounds,Gamma butyrolactones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,WJDSJWRYKZWBFS,,False,0.3031511525164664,150
CNP0346315.1,C=C[C@@]1(C)C[C@H]2CC[C@@]3(C)[C@@](C)(CC[C@@H](O)[C@]3(C)C=O)[C@]2(C)C[C@@H]1O,GMOCDNBMZXSBHF-IJKXCVAVSA-N,,"(1~{R},2~{R},4~{a}~{S},4~{b}~{R},6~{S},7~{R},8~{a}~{R},10~{a}~{S})-2,6-dihydroxy-1,4~{a},4~{b},7,10~{a}-pentamethyl-7-vinyl-3,4,5,6,8,8~{a},9,10-octahydro-2~{H}-phenanthrene-1-carbaldehyde",C22H36O3,348.53,4.12,57.53,3,2,2,0.58,0,0,0.86,2.58,Terpenoids,Triterpenoids,,Prenol lipids,Lipids and lipid-like molecules,Colensane and clerodane diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,GMOCDNBMZXSBHF,,False,0.30269866579010124,151
CNP0346362.1,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc2c1OC(C)(C)CC2,INSMSALGNVLSAY-NRFANRHFSA-N,,"(2~{S})-2-[2,2-dimethyl-8-(3-methylbut-2-enyl)chroman-6-yl]-5,7-dihydroxy-chroman-4-one",C25H28O5,408.49,5.42,75.99,5,2,3,0.66,1,2,0.4,2.41,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,Flavonoids,Phenylpropanoids and polyketides,Pyranoflavonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,INSMSALGNVLSAY,,False,0.3025321141157355,152
CNP0333434.0,COc1cc2c(cc1-c1cc3cc4ccoc4cc3oc1=O)OCO2,PENSQRMNZZWMGV-UHFFFAOYSA-N,Pachyrrhizin,"6-(6-methoxy-1,3-benzodioxol-5-yl)furo[3,2-g]chromen-7-one",C19H12O6,336.3,3.94,71.04,6,0,2,0.52,0,4,0.11,0.73,Shikimates and Phenylpropanoids,Coumarins,Furocoumarins,Isoflavonoids,Phenylpropanoids and polyketides,Isoflav-3-enones,Agastache rugosus|Begonia glabra|Neorautanenia amboensis|Neorautanenia edulis|Neorautanenia mitis|Neorautanenia pseudopachyrrhiza|Pachyrhizus erosus|Pachyrhizus tuberosus|Pachyrrhizus erosus|Pogostemon cablin|Solanum pubescens|Tephrosia purpurea,ANPDB|AfroCancer|AfroDB|Australian natural products|BIOFACQUIM|CMAUP (cCollective molecular activities of useful plants)|FooDB|KNApSaCK|Latin America dataset|NANPDB (Natural Products from Northern African Sources)|NPASS|NPEdia|Super Natural II|TCMDB@Taiwan (Traditional Chinese Medicine database)|TCMID (Traditional Chinese Medicine Integrated Database)|UNPD (Universal Natural Products Database),f,f,10.1016/j.trstmh.2003.10.008|10.1021/np058070c|10.1080/14786419.2014.939081,COCONUT,True,True,PENSQRMNZZWMGV,NPC72455,True,0.30252212074673046,153
CNP0282274.0,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1-c1cc(=O)c(OC)c(C)o1,GVWXIXXSXKCKKX-UHFFFAOYSA-N,Oppositin,"5,7-dimethoxy-6-(5-methoxy-6-methyl-4-oxo-pyran-2-yl)-2-phenyl-chromen-4-one",C24H20O7,420.42,4.41,88.11,7,0,5,0.47,0,4,0.17,0.86,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Flavonoids,Phenylpropanoids and polyketides,5-O-methylated flavonoids,Hoslundia opposita,AfroDB|KNApSaCK|NPEdia|Super Natural II|UNPD (Universal Natural Products Database)|ZINC NP,f,f,,COCONUT,True,True,GVWXIXXSXKCKKX,NPC580113,True,0.3016957226788885,154
CNP0346216.1,C=C/C=C(C=C)/C=C/C(=O)O[C@H]1[C@@H]2C=CO[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@H]2[C@]2(CO)O[C@H]12,APDCSTYYKSBVJD-KYESIKBLSA-N,,"[(1~{R},2~{R},4~{R},5~{S},6~{R},10~{R})-2-(hydroxymethyl)-10-[(2~{S},3~{R},4~{R},5~{S},6~{R})-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-3,9-dioxatricyclo[4.4.0.0^{2,4}]dec-7-en-5-yl] (2~{E},4~{E})-4-vinylhepta-2,4,6-trienoate",C24H30O11,494.49,-1.18,167.67,11,5,9,0.11,1,0,0.54,3.16,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Fatty Acyls,Lipids and lipid-like molecules,Fatty acid esters,,AfroDB,t,t,,COCONUT,True,True,APDCSTYYKSBVJD,,False,0.30156212222134576,155
CNP0146759.1,COc1cc([C@H]2CC(=O)c3ccc(O)cc3O2)cc(CCC(C)C)c1O,XZHAZHRCVXNUJR-GOSISDBHSA-N,,(2~{R})-7-hydroxy-2-(4-hydroxy-3-isopentyl-5-methoxy-phenyl)chroman-4-one,C21H24O5,356.42,4.4,75.99,5,2,5,0.83,0,2,0.38,1.5,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,Flavonoids,Phenylpropanoids and polyketides,3'-O-methylated flavonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,XZHAZHRCVXNUJR,,False,0.30155048317028343,156
CNP0319845.2,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4,ORDAZKGHSNRHTD-UXHICEINSA-N,Deguelin,"(1~{S},14~{S})-17,18-dimethoxy-7,7-dimethyl-2,8,21-trioxapentacyclo[12.8.0.0^{3,12}.0^{4,9}.0^{15,20}]docosa-3,5,9,11,15(20),16,18-heptaen-13-one",C23H22O6,394.42,4.01,63.22,6,0,2,0.77,0,2,0.35,2.26,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavanones,Isoflavonoids,Phenylpropanoids and polyketides,Rotenones,Achillea cretica|Allium macrostemon|Amorpha fruticosa|Amorpha fruticosa L.|Cordia americana|Crotalaria paniculata|Deguelia spruceana|Derris elliptica|Derris malaccensis|Derris trifoliata|Erycibe expansa|Eupatorium riparium|Geijera parviflora|Glycosmis montana|Leguminosae|Lonchocarpus salvadorensis|Lonchocarpus unifoliolatus|Millettia taiwaniana|Mundulea sericea|Pedicularis semitorta|Piscidia mollis|Piscidia piscipula|Scopolia japonica|Spiraea japonica|Tephrosia abbottiae|Tephrosia candida|Tephrosia elata|Tephrosia falciformis|Tephrosia fulvinervis|Tephrosia interrupta Engl.|Tephrosia linearis (Willd.) Pers.|Tephrosia nitens|Tephrosia purpurea|Tephrosia strigosa|Tephrosia vogelii|Tricholoma panaeolum|derris malaccensis plain,ANPDB|AfroDB|Australian natural products|CMAUP (cCollective molecular activities of useful plants)|ChEBI NPs|FooDB|InflamNat|KNApSaCK|Latin America dataset|NANPDB (Natural Products from Northern African Sources)|NPASS|NPEdia|NuBBEDB|Super Natural II|TCMDB@Taiwan (Traditional Chinese Medicine database)|TIPdb (database of Taiwan indigenous plants)|VietHerb|ZINC NP,f,f,"10.1002/(SICI)1521-4168(19980901)21:9<513::AID-JHRC513>3.0.CO,2-F|10.1016/j.phytochem.2012.02.025|10.1016/j.phytol.2009.01.002|10.7150/ijbs.17238",COCONUT,True,True,ORDAZKGHSNRHTD,NPC254968,True,0.30061778971449116,157
CNP0240312.10,C[C@H]1C(=O)CC[C@@H]2[C@@]1(C)CC[C@H]1[C@]2(C)CC[C@]2(C)[C@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,OFMXGFHWLZPCFL-DKLGUOOZSA-N,,"(4~{R},4~{a}~{R},6~{a}~{S},6~{a}~{R},6~{b}~{R},8~{a}~{S},12~{a}~{S},14~{a}~{R},14~{b}~{S})-4,4~{a},6~{a},6~{b},8~{a},11,11,14~{a}-octamethyl-2,4,5,6,6~{a},7,8,9,10,12,12~{a},13,14,14~{b}-tetradecahydro-1~{H}-picen-3-one",C30H50O,426.73,8.46,17.07,1,0,0,0.38,1,0,0.97,2.64,Terpenoids,Triterpenoids,Friedelane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,"Taraxerane, multiflorane, glutinane and friedelane triterpenoids",,AfroDB|ZINC NP,f,f,,COCONUT,True,True,OFMXGFHWLZPCFL,NPC2631,True,0.3004861046026957,158
CNP0200637.3,COc1ccc2c(c1CC=C(C)C)O[C@@H]1c3ccc(O)cc3OC[C@@]21O,ZHPYEBFYLDGZKF-NHCUHLMSSA-N,,"(6~{a}~{S},11~{a}~{R})-9-methoxy-10-(3-methylbut-2-enyl)-6,11~{a}-dihydrobenzofuro[3,2-c]chromene-3,6~{a}-diol",C21H22O5,354.4,3.62,68.15,5,2,3,0.82,0,2,0.33,2.55,Shikimates and Phenylpropanoids,Isoflavonoids,Pterocarpan,Isoflavonoids,Phenylpropanoids and polyketides,Pterocarpans,,AfroDB,f,f,,COCONUT,True,True,ZHPYEBFYLDGZKF,NPC179975,True,0.3004750014280906,159
